student_id,year,days_in_hostel,past_escalation_count,behavior_count_7d,behavior_count_30d,severe_behavior_count_30d,behavior_weighted_score_30d,days_since_last_behavior,incident_count_30d,severe_incident_count_30d,incident_trend_slope,complaint_count_30d,high_severity_complaint_count_30d,complaint_growth_rate,avg_stress_4weeks,stress_trend_slope,mood_instability_score,missed_survey_count,block_risk_score,floor_risk_score,room_risk_score,roommate_avg_risk_score,risk_score,risk_level
S_1000,2,677,0,1,1,0,0.07833333146825402,61,0.0,0,-0.603,0.857142734693895,0,0.87,0.15555553827160687,-0.093,2.4,4,0.8115575850357827,1.9,0.767499808125048,3.95,12.476509279893254,Medium
S_1001,4,134,0,0,2,0,0.22738094696712033,70,0.33333322222225925,0,-0.473,0.0,0,0.19,0.6555554827160576,0.424,9.4,2,0.48743706345802423,1.05,0.1374999656250086,4.54,14.339245950424353,Medium
S_1002,4,248,2,0,1,0,0.18738094791950125,71,0.0,0,0.351,0.57142848979593,1,0.38,0.5444443839506241,-0.426,3.9,2,0.17839191497690576,1.51,0.18499995375001155,3.22,17.474724797679166,High
S_1003,4,385,0,2,4,0,0.31619046866213174,3,0.0,0,-0.445,0.57142848979593,1,0.88,0.7777776913580343,-0.398,4.4,4,0.954773629453862,4.99,0.8624997843750539,3.09,12.488534657856327,Medium
S_1004,4,616,1,0,1,0,0.143333329920635,25,0.0,0,-0.56,0.4285713673469475,1,0.63,0.2777777469135837,-0.466,8.4,0,0.1934672880735457,1.5,0.9949997512500622,2.21,11.791942755770222,Low
S_1005,4,586,0,0,1,0,0.2680952317120183,19,0.6666664444445185,0,-0.702,0.7142856122449125,0,0.64,0.766666581481491,0.243,1.9,5,0.6080400482311437,2.74,0.657499835625041,2.72,14.381895716885136,Medium
S_1006,4,935,0,1,2,0,0.1483333298015874,7,0.0,0,-0.671,0.9999998571428775,0,0.16,0.31111107654321374,0.111,8.1,1,0.11306529822479942,3.65,0.7974998006250499,2.89,11.088397832795057,Low
S_1007,4,920,0,1,3,0,0.11071428307823135,0,0.33333322222225925,0,0.228,0.9999998571428775,2,0.35,0.6888888123456876,0.145,3.8,2,0.22361803426682553,3.14,0.7099998225000443,1.63,10.592426346491203,Low
S_1008,3,417,2,0,5,0,0.0473809512528345,16,0.33333322222225925,0,0.053,0.0,1,0.06,0.24444441728395366,0.037,7.7,3,0.6055274860483704,3.45,0.559999860000035,4.81,21.295002978325584,High
S_1009,4,453,0,0,0,0,0.16761904362811803,18,0.33333322222225925,0,-0.638,0.1428571224489825,1,0.2,0.9111110098765545,-0.455,3.5,2,0.1105527360420261,2.35,0.8024997993750501,2.46,10.247456406870885,Low
S_1010,2,1087,1,0,1,0,0.5909523668820865,0,0.33333322222225925,0,0.24,0.0,1,0.11,0.6888888123456876,-0.176,5.7,1,0.09045223857983951,4.39,0.7649998087500477,1.14,12.387975060430033,Medium
S_1011,4,185,0,0,4,0,0.025476189869614526,26,0.33333322222225925,0,-0.754,0.7142856122449125,1,0.15,0.33333329629630043,-0.3,6.2,4,0.21105522335295898,2.01,0.11749997062500733,2.29,7.931054514257321,Low
S_1012,4,92,0,0,1,0,0.2404761847505671,42,0.0,0,0.527,0.857142734693895,0,0.27,0.09999998888889013,-0.067,9.2,3,0.603014923865597,1.57,0.8174997956250509,4.8,14.439728505421861,Medium
S_1013,1,60,3,0,2,0,0.3583333248015875,54,0.0,0,-0.007,0.4285713673469475,0,0.83,0.5444443839506241,-0.004,7.7,3,0.5653264911239971,3.44,0.4749998812500297,2.21,21.492802114574587,High
S_1014,1,744,0,1,0,0,0.13404761585600916,16,0.33333322222225925,0,-0.658,0.57142848979593,0,0.26,0.5222221641975374,-0.317,7.5,3,0.4949747500063443,3.68,0.7624998093750476,2.95,11.397640355175717,Low
S_1015,3,1018,0,1,1,0,0.11047618784580505,0,0.0,0,-0.156,0.9999998571428775,1,0.43,0.6444443728395142,0.18,3.2,5,0.19597985025631903,2.59,0.21499994625001345,3.17,11.590741139098059,Low
S_1016,2,966,0,0,2,0,0.28833332646825416,29,0.33333322222225925,0,0.323,0.1428571224489825,1,0.88,0.2999999666666704,-0.262,6.1,2,0.6758792271660233,4.13,0.7299998175000456,2.72,10.10259265313563,Low
S_1017,4,620,3,0,3,0,0.41785713290816356,6,0.0,0,-0.03,0.9999998571428775,1,0.38,0.8111110209876645,-0.422,2.4,0,0.8090450228530094,2.38,0.9499997625000594,3.74,27.031948723826368,High
S_1018,4,202,0,2,3,0,0.5742857006122453,68,0.33333322222225925,0,-0.564,0.7142856122449125,1,0.88,0.3222221864197571,-0.205,8.0,4,0.39447226269541136,1.26,0.767499808125048,3.23,13.097566431198118,Medium
S_1019,3,78,2,2,1,0,0.26571427938775527,84,0.33333322222225925,1,0.998,0.1428571224489825,2,0.29,0.799999911111121,0.068,7.3,5,0.7336681573698096,2.61,0.14499996375000906,3.22,24.0825245679312,High
S_1020,1,447,1,0,5,0,0.052857141598639495,37,0.9999996666667778,0,0.849,0.7142856122449125,1,0.75,0.9111110098765545,-0.19,2.1,1,0.047738681472693084,2.88,0.16749995812501045,2.31,15.943213276638454,Medium
S_1021,3,969,0,3,3,0,0.09142856925170074,66,0.0,0,0.043,0.1428571224489825,2,0.73,0.44444439506173394,-0.429,7.0,5,0.15829141751471917,4.42,0.8799997800000549,1.65,6.253624115353098,Low
